,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,GO:0002181,cytoplasmic translation,81/304,159/18614,2.99E-104,8.92E-101,7.76E-101,3921/6193/6188/6122/6222/6228/6175/6206/4736/6191/6233/6187/6204/6227/6232/6125/6223/6235/6189/6130/6210/6202/6194/9045/6147/6201/6134/6161/6141/6208/6230/6171/6143/6156/6142/6137/6209/25873/10399/6165/11224/6138/6139/6167/6234/6159/6154/6136/6135/6164/6173/6152/23521/6133/6168/6132/6128/6146/6157/6229/6217/6144/6170/6207/6181/6124/6158/6176/6203/2197/8665/6160/6205/6129/6224/6155/6169/6218/8664/3646/200916,81
GO:0002696,GO:0002696,positive regulation of leukocyte activation,26/304,377/18614,6.95E-10,8.63E-08,7.51E-08,3115/3117/6659/3119/3113/6188/916/4282/914/3561/399/596/3123/975/118460/972/3108/3122/6352/864/3329/3118/961/3109/1326/1880,26
GO:0050867,GO:0050867,positive regulation of cell activation,26/304,394/18614,1.77E-09,1.96E-07,1.70E-07,3115/3117/6659/3119/3113/6188/916/4282/914/3561/399/596/3123/975/118460/972/3108/3122/6352/864/3329/3118/961/3109/1326/1880,26
GO:0051251,GO:0051251,positive regulation of lymphocyte activation,25/304,327/18614,1.75E-10,2.74E-08,2.38E-08,3115/3117/6659/3119/3113/6188/916/4282/3561/399/596/3123/975/118460/972/3108/3122/6352/864/3329/3118/961/3109/1326/1880,25
GO:0050863,GO:0050863,regulation of T cell activation,25/304,377/18614,3.34E-09,3.46E-07,3.01E-07,3115/3117/6659/3119/3113/6188/916/914/3561/399/6932/6647/3123/975/972/3108/7001/3122/6352/864/3329/3118/961/3109/1326,25
GO:0045785,GO:0045785,positive regulation of cell adhesion,25/304,482/18614,3.99E-07,2.64E-05,2.30E-05,3115/3117/6659/3119/3113/6188/1021/916/2113/3561/399/708/3123/975/972/3108/3122/6352/864/3329/3118/961/3676/3109/1326,25
GO:0030098,GO:0030098,lymphocyte differentiation,23/304,422/18614,5.02E-07,3.11E-05,2.71E-05,6659/9452/915/6194/1021/916/914/5295/3561/6146/399/6932/596/6647/3123/972/7001/3122/2322/864/292/3676/1880,23
GO:0046651,GO:0046651,lymphocyte proliferation,17/304,306/18614,1.24E-05,0.000561197,0.000488446,3115/3113/6188/6194/916/4282/596/3615/3123/975/972/7001/6352/2322/3329/3109/1880,17
GO:0016064,GO:0016064,immunoglobulin mediated immune response,14/304,145/18614,1.14E-07,8.50E-06,7.40E-06,3115/3117/3119/3113/708/3123/975/118460/972/3108/3122/3329/3118/3109,14
GO:0019724,GO:0019724,B cell mediated immunity,14/304,148/18614,1.47E-07,1.05E-05,9.10E-06,3115/3117/3119/3113/708/3123/975/118460/972/3108/3122/3329/3118/3109,14
